entityid,tick,user_name,x,y,z,round_number,map_name,matchid,mapid,player_team,winner,team_name,is_win,start_tick,round_tick
362,3008,Snax,-712.90643,-1620.1653,-169.96875,1,de_mirage,23,56,G2 Esports,T,T,True,1,3007
183,3086,Snax,-399.91882,-1573.275,-37.96875,1,de_mirage,23,56,G2 Esports,T,T,True,1,3085
285,7724,HeavyGoD,-1197.2103,-639.27094,-165.96875,2,de_mirage,23,56,G2 Esports,T,T,True,5919,1805
188,9113,hades,-1173.3545,-642.47363,-165.96875,2,de_mirage,23,56,G2 Esports,T,T,True,5919,3194
156,9604,malbsMd,-692.814,-1311.7928,-165.96875,2,de_mirage,23,56,G2 Esports,T,T,True,5919,3685
381,10495,hades,-930.54626,-1426.7794,-165.96875,2,de_mirage,23,56,G2 Esports,T,T,True,5919,4576
322,11288,huNter-,-661.63586,-1230.9486,-165.96875,2,de_mirage,23,56,G2 Esports,T,T,True,5919,5369
157,14303,HeavyGoD,-0.38935494,-456.0926,-173.96875,3,de_mirage,23,56,G2 Esports,T,T,True,12579,1724
190,15563,REZ,-627.3102,-721.3299,-266.92892,3,de_mirage,23,56,GamerLegion,T,CT,False,12579,2984
304,16146,ztr,-1395.2925,779.4746,-77.96516,3,de_mirage,23,56,GamerLegion,T,CT,False,12579,3567
260,17422,hades,-1152.6785,-624.07104,-165.96875,3,de_mirage,23,56,G2 Esports,T,T,True,12579,4843
143,17599,PR,-564.0092,-433.53613,-165.97664,3,de_mirage,23,56,GamerLegion,T,CT,False,12579,5020
80,18690,huNter-,-1134.3206,-591.9775,-165.96875,3,de_mirage,23,56,G2 Esports,T,T,True,12579,6111
262,19657,hades,-1019.41766,-1395.3674,-164.90295,3,de_mirage,23,56,G2 Esports,T,T,True,12579,7078
95,20620,huNter-,-486.788,-1937.7421,-177.96875,3,de_mirage,23,56,G2 Esports,T,T,True,12579,8041
69,24295,HeavyGoD,-1159.3918,-634.54376,-165.96875,4,de_mirage,23,56,G2 Esports,T,T,True,22362,1933
