entityid,tick,user_name,x,y,z,round_number,map_name,matchid,mapid,player_team,winner,team_name,is_win,start_tick,round_tick
114,2841,Brollan,839.9399,-1646.6683,-237.96875,1,de_nuke,26,64,MOUZ,CT,T,False,1,2840
523,14315,Brollan,986.35535,-1819.121,-413.96875,3,de_nuke,26,64,MOUZ,CT,T,False,12090,2225
533,14374,Mzinho,73.83081,-141.5714,-413.96875,3,de_nuke,26,64,The MongolZ,CT,CT,True,12090,2284
531,14486,Brollan,1144.9532,-2048.5967,-413.96875,3,de_nuke,26,64,MOUZ,CT,T,False,12090,2396
535,14608,Senzu,109.55252,-1348.1184,-413.96875,3,de_nuke,26,64,The MongolZ,CT,CT,True,12090,2518
543,15169,Brollan,933.83844,-2133.2024,-413.96875,3,de_nuke,26,64,MOUZ,CT,T,False,12090,3079
546,15345,xertioN,1117.5118,-2162.5889,-413.96875,3,de_nuke,26,64,MOUZ,CT,T,False,12090,3255
552,15693,bLitz,1139.4813,-1966.6904,-637.96875,3,de_nuke,26,64,The MongolZ,CT,CT,True,12090,3603
554,16358,Senzu,148.66827,-1331.9583,-413.96875,3,de_nuke,26,64,The MongolZ,CT,CT,True,12090,4268
764,20827,xertioN,224.33284,-2156.0557,-413.96875,4,de_nuke,26,64,MOUZ,CT,T,False,19073,1754
782,21604,Brollan,988.7822,-1816.9048,-413.96875,4,de_nuke,26,64,MOUZ,CT,T,False,19073,2531
784,21746,Brollan,1144.3914,-2048.3838,-413.96875,4,de_nuke,26,64,MOUZ,CT,T,False,19073,2673
788,22122,Senzu,107.64553,-1345.8799,-413.96875,4,de_nuke,26,64,The MongolZ,CT,CT,True,19073,3049
797,23295,bLitz,1056.278,-141.80544,-413.96875,4,de_nuke,26,64,The MongolZ,CT,CT,True,19073,4222
801,24335,Techno4K,212.477,-1193.7596,-413.96875,4,de_nuke,26,64,The MongolZ,CT,CT,True,19073,5262
803,24563,torzsi,488.12338,-1277.1714,-413.96875,4,de_nuke,26,64,MOUZ,CT,T,False,19073,5490
1020,30981,bLitz,580.51825,-1984.6271,-413.96875,5,de_nuke,26,64,The MongolZ,T,CT,False,26641,4340
1017,31000,xertioN,422.196,-2115.153,-413.96875,5,de_nuke,26,64,MOUZ,T,T,True,26641,4359
138,31145,Jimpphat,412.3125,-1305.4648,-413.63272,5,de_nuke,26,64,MOUZ,T,T,True,26641,4504
132,31162,Mzinho,112.93954,-264.22266,-413.3103,5,de_nuke,26,64,The MongolZ,T,CT,False,26641,4521
1021,31222,torzsi,1133.381,-2214.4739,-413.96875,5,de_nuke,26,64,MOUZ,T,T,True,26641,4581
1015,31261,Brollan,919.2675,-2149.7693,-413.96875,5,de_nuke,26,64,MOUZ,T,T,True,26641,4620
129,31833,Techno4K,125.129425,-1321.7802,-413.96875,5,de_nuke,26,64,The MongolZ,T,CT,False,26641,5192
521,33136,Techno4K,85.869446,-1370.4633,-413.96875,5,de_nuke,26,64,The MongolZ,T,CT,False,26641,6495
739,39422,bLitz,587.56537,-1984.6864,-413.96518,6,de_nuke,26,64,The MongolZ,CT,CT,True,37602,1820
720,39568,Brollan,846.15356,-1704.9653,-237.96875,6,de_nuke,26,64,MOUZ,CT,T,False,37602,1966
785,39632,Mzinho,115.65981,-323.79904,-413.96875,6,de_nuke,26,64,The MongolZ,CT,CT,True,37602,2030
774,39806,Brollan,1008.1893,-1890.2473,-413.96875,6,de_nuke,26,64,MOUZ,CT,T,False,37602,2204
732,39848,Brollan,1168.9991,-2015.7236,-413.96875,6,de_nuke,26,64,MOUZ,CT,T,False,37602,2246
740,39873,Senzu,279.99188,-1289.8453,-413.96875,6,de_nuke,26,64,The MongolZ,CT,CT,True,37602,2271
778,40987,Brollan,839.56506,-1623.4105,-237.96875,6,de_nuke,26,64,MOUZ,CT,T,False,37602,3385
